latitude,longitude,name
50.814369,43.25119,ZAMAN-VORSTNAT.
50.806433,43.4079,ST-PIETERSCOLLEGE
50.848436,44.20326,SPEECKAERT
50.854077,43.28448,GROENINGHE
50.81049,43.40145,PEYO
50.859657,44.14231,PADUWA
50.80305,43.58807,HOUZEAU
50.84762,44.48299,VANDERVELDE
50.834547,44.20311,JULIUSCAESAR
50.84381,43.051,HENRIREY
50.840053,44.88152,HERNALSTEEN
50.85479,44.40301,MARCELTHIRY
50.838385,42.84139,WESTLANDSHOPPING
50.8432,44.87606,SPORTPLEIN
50.857665,44.42066,JESPERS
50.840527,43.82651,FROISSART
50.838508,43.36507,ZUIDSTATION
50.848607,44.2027,SPEECKAERT
50.863301,43.30614,SIMONIS
50.84038,44.84703,VIOOLTJES
50.850187,43.98644,OPAAL
50.867019,43.21136,RIETHUISEN
50.873981,43.22561,BRUSSELAARS
50.849894,43.81107,CLOVIS
50.866675,43.14772,H.HARTCOLLEGE
50.885472,43.16281,OUDEAFSPANNING
50.849814,43.74063,SINT-JOOST
50.864373,42.96735,SCHWEITZER
50.889498,43.09422,UZ-PEDIATRIE
50.847875,44.55839,ALMA
50.864581,42.97151,SCHWEITZER
50.892923,43.1296,DIKKEBEUK
50.888054,43.19338,DIELEGEM
50.844329,43.84186,SCHUMAN
50.89407,43.25231,PALFIJN
50.840749,44.84562,VIOOLTJES
50.85644,44.31044,ARIANE
50.859744,43.76436,WIJNHEUVELEN
50.846952,44.83413,LOUISMARCELIS
50.85661,44.32322,ARIANE
50.859573,43.76816,WIJNHEUVELEN
50.888147,43.19041,DIELEGEM
50.892622,43.14011,DIKKEBEUK
50.835925,43.72486,IDALIE
50.850009,44.83008,RING0
50.865586,43.50999,THURNENTAXIS
50.833227,43.85801,FETIS
50.843551,44.87266,SPORTPLEIN
50.834407,43.0463,SINT-GUIDO
50.83088,43.8932,DEJACHT
50.814467,42.88169,SINTNIKLAAS
50.847956,44.36126,ROODEBEEK
50.817395,44.21282,HERTOGENDAL
50.814629,42.88467,SINTNIKLAAS
50.85333,44.96905,LANGEEIK
50.808245,44.35562,TRANSVAAL
50.852841,44.82745,KERKWEZEMBEEK
50.853393,44.96565,LANGEEIK
50.816646,44.25399,OUDERGEM-SHOP.
50.839497,44.94766,STIJNSTREUVELS
50.84803,44.36032,ROODEBEEK
50.885712,43.08952,UZ-VUB
50.835757,44.95693,OPPEM
50.847281,44.35155,ROODEBEEK
50.835493,43.80861,VIJVERS
50.814107,43.39161,COGHEN
50.871718,43.24501,SPIEGEL
50.840654,43.64805,TROON
50.848754,44.58553,KRAAINEM
50.847707,43.97407,VICTORHUGO
50.792217,43.59036,DEWANSIJN
50.848073,44.55357,ALMA
50.845754,44.03994,VERGOTE
